Year,Country,City,School Name,Curriculum,Grade Level,Role,Years of Experience,Salary In Dollars,Housing In Dollars,Savings In Dollars,Salary Currency,Monthly Salary,Savings Potential,Tax Rate (%),Flights Allowance,Housing Allowance,End of Contract Bonuses,Additional Benefits
2025,Switzerland,Zug,ISZL,International Baccalaureate (IB) programmes,All grade levels,Humanities,2,9167,,2037,Swiss Franc,7500,1667,10,,,,Dependent children tuition for 2 children
2025,Switzerland,Zug,ISZL,International Baccalaureate (IB) programmes,Primary,Teacher,15,12223,,4584,Swiss Franc,10000,3750,5,,,,
2025,Switzerland,Zuoz,Lyceum Alpinum Zuoz,International Baccalaureate (IB) programmes,Secondary,Language teacher,5,7334,,,Swiss Franc,6000,,,,,,
2025,Switzerland,Zurich,Zurich International School,IB/AP,High School,Biology/Science,5,8556,,1222,Swiss Franc,7000,1000,10%,,,,
2024,Taiwan,Douliou,Victoria Academy,International Baccalaureate (IB) programmes,15-18,Maths/homeroom,,2563,,,New Taiwan Dollar,83000,,,,,"20,000",
2024,Taiwan,Hsinchu,Kang Chiao International School (Hsinchu),Bilingual US ELA & Chinese,3-6 Upper Elementary,ELA/ESL Teacher,2,2841,247.0,1698,New Taiwan Dollar,92000,55000,0.06,,"8,000","40,000","Discounted Children's tuition, Free lunch, 30k (TWD) PD Allowance, 40k Renewal bonus, 15k LNY bonus"
2024,Taiwan,Hsinchu,Hsinchu International School,US-oriented curriculum,High School,Maths,1,2316,,1544,New Taiwan Dollar,75000,50000,7%,,,,
2024,Taiwan,Kaohsiung,Kaohsiung American School,US/IB program,,5,3088,834,618.0,New Taiwan Dollar,100000,20000,Paid by School,50000,27000,,"Matching savings account, you give 5% and they double it. ~50000 shipping allowance. Flights only paid at end of second year of initial contract. Public healthcare. 1.5 child tuition per teacher paid. 30000 a year for utilities",
2024,Taiwan,Kaohsiung,I-Shou International School,International Baccalaureate (IB) programmes,Grade 4,Homeroom,7,2990,,926,New Taiwan Dollar,96830,30000,6%,,,96830,
2024,Taiwan,New Taipei City (Linkou),Kang Chiao International School (Linkou),US-oriented curriculum,Grades 7-10,History,,3212,247.0,,New Taiwan Dollar,104000,,12%,"$1,000",8000,,Tuition fees waived for children (but non-tuition fees are CRAZY).
2024,Taiwan,Taichung,Ivy Collegiate Academy,US-oriented curriculum,10-12,English,2,2471,,618,New Taiwan Dollar,80000,20000,6%,"~40,000",,"14,000","Boarding school. Free on-campus housing (low quality). Free breakfast lunch and dinners. School does some illegal stuff with salaries, mainly using teacher tax returns to offset the principal and vice principal's tax rate."
2024,Taiwan,Taipei,Grace Christian Academy,US-oriented curriculum,ND (Privacy),Core Subjects,,1875,,,New Taiwan Dollar,60700,,18%,,,,Free apartment w/ roommates. Flight home at end of contract.
2024,Taiwan,Taipei,TES,British Curriculum,1-3,Primary,,4323,1698.0,,New Taiwan Dollar,140000,,Paid by school,40000,55000,140 000,Housing allowance - 55000 (couple)
2024,Taiwan,Taipei,Dominican International School,US-oriented curriculum,Elementary,Homeroom,8,2810,,,New Taiwan Dollar,91000,,,,,,
2024,Taiwan,Taipei,Taipei American School (TAS),US-oriented curriculum,3-12,Music,6,5800,1792.0,2917,US Dollar,5800,2917,N/A,,"1,792",,"Comprehensive health/medical, solid settling-in allowance start of contract"
2024,Taiwan,Taipei,TAS,US-oriented curriculum,Upper School,Upper School,12,7504,,772,New Taiwan Dollar,243000,25000,7% FICA,,,,Housing was already included in above
2024,Taiwan,Taipei,Catholic DaRen High School,Uses IGCSE for English based curriculum...,"Grade 7-8, 10-12","IGCSE English, AP Art History, Visual Arts, Film Studies...",7,2471,,247,New Taiwan Dollar,80000,8000,28,"40,000",,,They provided one flight back to your country per contract year...
2024,Taiwan,Taipei,Taipei European School,International Baccalaureate (IB) programmes,Y7-h4,Pe,10+,4632,926.0,3088,New Taiwan Dollar,150000,100000,,"60,000","30,000","150,000",One months salary end of year bonus. School pays tax for salary but you pay 4000NT for insurance monthly.
2024,Taiwan,Taipei,Taipei Municipal Yang Ming High School,Canadian curriculum,High School,English Language Arts,2,2223,154.0,926,New Taiwan Dollar,72000,30000,5%,,"5,000","72,000","75% subsidized National Health Insurance, 10 paid vacation days, 14 sick days..."
2024,Taiwan,Taipei,Taipei Kuei Shan School,International Baccalaureate (IB) programmes,Primary,Homeroom,2,3397,463.0,1081,New Taiwan Dollar,110000,35000,8.5,"35,000","15,000",,Most of National Health Insurance and Labor Insurance covered.
2024,Taiwan,Zhubei,Hsinchu International Academy,US-oriented curriculum,Grade 7-9,ELA,6,3304,309.0,1544,New Taiwan Dollar,107000,50000,5,"10,000","10,000","10,000",
2024,Thailand,Bang Lamung,Rugby School Thailand,British Curriculum,Primary,Primary school teacher,10,2817,,,Baht,95000,,,"32,000",,,On campus housing provided
2024,Thailand,Bangkok,Shrewsbury International School,British Curriculum,High School,EAL Specialist,,2358,,,Baht,79510,,,,,,
2023,Thailand,Bangkok,International School (On Nut Campus),US-oriented curriculum,Secondary,History,,1928,,,Baht,65000,,,,,,
2023,Thailand,Bangkok,Concordian International School,International Baccalaureate (IB) programmes,Primary,Homeroom,7,3559,927.0,,Baht,120000,,About 12%,"70,000","31,250","70,000","Top-notch Health Insurance Plan, Free Tuition for Child..."
2023,Thailand,Bangkok,Australian International School Bangkok,Australian,Upper Primary,Year 4 Classroom Teacher,11,2283,,5041,Baht,77000,170000,0%,0,,50000,"Housing allowance - 70,000 for two years"
2023,Thailand,Bangkok,Satit Prasarnmit International Programme,British Curriculum,Year 7-12,Maths,1 Year (ECT),2017,593.0,,Baht,68000,,3%,,"20,000","10,000",
2023,Thailand,Bangkok,American School of Bangkok - Sukhumvit Campus,US-oriented curriculum,High School,,6,3114,,,Baht,105000,,10%,,,,
2023,Thailand,Bangkok,NIST International School,International Baccalaureate (IB) programmes,High School,Sciences,10+,6227,1483.0,,Baht,210000,,,,50000,715000,Monthly salary is post-tax and includes the housing allowance...
2023,Thailand,Bangkok,Amnuay Silpa School,British Curriculum,KS4&5,Business Studies,3,3292,,890,Baht,111000,30000,11%,1000 USD,,"100,000",Basic health insurance and free schooling for two dependants.
2023,Thailand,Bangkok,Wellington,British Curriculum,Primary,Specialist,10+,3908,1661.0,,Baht,131788,,20%,"60,000","56,000","160,000","Flights are per person, Free places for Kids, Good PD benefits,"
