Year,Country,City,School Name,Curriculum,Grade Level,Role,Years of Experience,Salary In Dollars,Housing In Dollars,Savings In Dollars,Salary Currency,Monthly Salary,Savings Potential,Tax Rate (%),Flights Allowance,Housing Allowance,End of Contract Bonuses,Additional Benefits
2025,Argentina,Buenos Aires,Lincoln School,US-oriented curriculum,Salary on Scale - Not Role Dependent,Not Relevant to Salary/Benefits,Mid Salary Scale,"4,500","1,500","1,500",US Dollar,"4,500","1,500",,"2,000","1,500",,"Flights: Round-trip once per year or cash allowance based on home of record. One-way end of contract (No cash-out option)
Retirement: 8% employer match
Settling Allowance: Generous cash allowance - varies by number of dependents.
Exit Allowance: Shipping paid against receipts. No cash or severance.
Other: Home Internet provided + $100 COLA paid in local currency. Faculty children receive tuition. Free school lunch.
Savings: $10000-$20000 for a single. Couples typically live off of one salary and save the other. A VERY frugal person can live entirely off of their peso deposit and save their entire dollar salary.
*Benefits/allowances are regularly adjusted - for better or worse*"
2023,Argentina,Buenos Aires,Lincoln school,US-oriented curriculum,Role does not determine salary,There is a salary scale,,"4,500","1,467",,US Dollar,"4,500",,0%,1500,"1,467",,Housing is in pesos (I converted it to USD). Most pay out of pocket. 8% retirement match. Local health plan. Worldwide health plan. A very small COLA. Home Internet is paid. Free lunch. This is the expat package. The local one is very low in pesos and leads to tension between groups. Paid for unused sick days.
2023,Austria,Vienna,Amadeus International School,International Baccalaureate (IB) programmes,,Teacher,1,"3,638",,568,Euro,"3,200",500,40,,,,
2023,Austria,Vienna,International Business College Hetzendorf,national,high school,business studies teacher,4,"3,410",,"1,705",Euro,"3,000","1,500",40%,,,,
2024,Austria,Vienna,American International School,US-oriented curriculum,3-5,Learning Support,7,"4,888",,"1,705",Euro,"4,300","1,500",,,,,
2024,Austria,Vienna,Vienna International School,International Baccalaureate (IB) programmes,Secondary,English,8,"3,751",,"1,137",Euro,"3,300","1,000",45%,,,,4000 euros settling in allowance. Generous PD fund. 400 euros to go toward learning German. (Monthly salary figure is after tax.)
2025,Austria,Vienna,Vienna international school,International Baccalaureate (IB) programmes,Primary,N/A,6,"4,297",,"1,137",Euro,"3,780","1,000",40%,,,"1,500","European health care insurance, building up EU pension, the place to be to get kids as Austria gives 1-2 years parents leave for 70% of your salary, most holiday days besides Denmark in Europe, public transportation costs €1 a day."
2025,Austria,Vienna,Vienna international school,International Baccalaureate (IB) programmes,Primary,N/A,6,"4,297",,"1,137",Euro,"3,780","1,000",40%,,,"1,500","European health care insurance, building up EU pension, the place to be to get kids as Austria gives 1-2 years parents leave for 70% of your salary, most holiday days besides Denmark in Europe, public transportation costs €1 a day."
2024,Azerbaijan,Baku,Oxford,British Curriculum,Y9/10/11,Teacher,9,"3,600",400,"1,500",US Dollar,"3,600","1,500",,"1,000",400,,
2025,Bahamas,Abaco,MOE-S.C. Bootle,British Curriculum,7-12,Teacher,2,"2,501","1,000",500,Bahamian Dollar,"2,500",500,,500,"1,000",,"Free public healthcare,"
